detector,descriptor,model,thresh,ok,matches,inliers,inlier_ratio,mean_inlier_err_px,corner_err_px,return_code
harris,brief,homography,3.2,True,28.0,28.0,1.0,1.14254,0.473554,0
harris,patch,homography,3.2,True,20.0,19.0,0.95,1.10924,0.529161,0
harris,sift,homography,3.2,True,28.0,25.0,0.8928571428571429,1.15167,0.554771,0
shitomasi,patch,homography,3.2,True,43.0,40.0,0.9302325581395349,1.27606,0.717852,0
shitomasi,sift,homography,3.2,True,48.0,46.0,0.9583333333333334,1.27821,0.810034,0
harris,sift,affine,3.2,True,28.0,24.0,0.8571428571428571,0.987521,0.923205,0
harris,patch,affine,3.2,True,20.0,20.0,1.0,1.29608,0.932989,0
harris,brief,similarity,3.2,True,28.0,6.0,0.21428571428571427,1.06386,0.976827,0
shitomasi,patch,affine,3.2,True,43.0,41.0,0.9534883720930233,1.44895,1.026308,0
shitomasi,brief,affine,3.2,True,41.0,41.0,1.0,1.54081,1.071992,0
harris,brief,affine,3.2,True,28.0,28.0,1.0,1.26796,1.078501,0
shitomasi,brief,homography,3.2,True,41.0,41.0,1.0,1.3555,1.093755,0
shitomasi,sift,affine,3.2,True,48.0,46.0,0.9583333333333334,1.41416,1.232217,0
shitomasi,sift,similarity,3.2,True,48.0,7.0,0.14583333333333334,1.35521,1.275749,0
fast9,patch,homography,3.2,True,25.0,18.0,0.72,1.65634,1.361326,0
fast9,patch,affine,3.2,True,25.0,18.0,0.72,1.72356,1.585501,0
harris,sift,similarity,3.2,True,28.0,6.0,0.21428571428571427,0.940305,1.672032,0
fast9,sift,affine,3.2,True,11.0,9.0,0.8181818181818182,1.6275,1.85138,0
shitomasi,patch,similarity,3.2,True,43.0,8.0,0.18604651162790697,0.972529,1.935672,0
shitomasi,brief,similarity,3.2,True,41.0,7.0,0.17073170731707318,0.933316,1.988184,0
harris,patch,similarity,3.2,True,20.0,6.0,0.3,1.66396,2.148371,0
fast9,sift,similarity,3.2,True,11.0,3.0,0.2727272727272727,0.965079,2.535341,0
fast9,patch,similarity,3.2,True,25.0,3.0,0.12,0.965079,2.535341,0
fast9,sift,homography,3.2,True,11.0,10.0,0.9090909090909091,1.37055,3.140551,0
fast9,brief,similarity,3.2,False,,,,,,2
fast9,brief,affine,3.2,False,,,,,,2
fast9,brief,homography,3.2,False,,,,,,2
